MAG	basin	sample_type	compl	contam	numb_scaffolds	genome_size	GC	sPROD	METHANO	rhodanase	phsA	dsrB	MAG_FULL_tax
PMN_IN_RPW1_bin.22	Permian Basin	input	91.22	1.41	134	2312101	28.8	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__ARW1-2F2;s__
PMN_IN_RPW1_bin.35	Permian Basin	input	74.09	1.34	153	2056423	67.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas alimentaria
PMN_IN_RPW2_bin.11	Permian Basin	input	94.29	0.51	74	2143502	38	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum_A;s__
PMN_IN_RPW4_bin.14	Permian Basin	input	98.21	0.82	51	2983480	66.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__
PMN_IN_RPW4_bin.15	Permian Basin	input	68.39	0.81	90	1506758	52.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__JAIVHC01;s__
PMN_IN_RPW5_bin.1	Permian Basin	input	89.28	1.16	141	2821922	66.7	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__Rhodovulum adriaticum
PMN_IN_RPW5_bin.13	Permian Basin	input	60.34	0	153	2146845	59.8	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter pelagius_A
PMN_IN_RPW5_bin.3	Permian Basin	input	96.75	1.15	129	2526642	27.2	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Malaciobacter;s__Malaciobacter marinus
PMN-1_IN_DOW_bin.5	Permian Basin	input	80.19	1.7	185	3245551	64.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__
PMN-1_IN_FF1_bin.2	Permian Basin	input	93.12	0	123	3207100	64.6	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta
PMN-1_IN_FF1_bin.22	Permian Basin	input	85.7	0.19	220	3688840	51.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
PMN-1_IN_FF2_bin.16	Permian Basin	input	96.38	0	65	4662916	65.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas campestris
PMN-1_IN_FF2_bin.17	Permian Basin	input	54.39	0	47	3198177	46.5	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;s__Shewanella baltica
PMN-1_IN_FF2_bin.2	Permian Basin	input	81.47	0.43	10	2588445	63.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Cobetia;s__Cobetia amphilecti
PMN-1_IN_FF2_bin.6	Permian Basin	input	94.24	0.15	100	4104898	42.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;s__Shewanella inventionis
PMN-1_IN_FF2_bin.7	Permian Basin	input	51.21	0	201	3851044	53.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Lelliottia;s__Lelliottia sp022649305
PMN-1_PF_day102_bin.10	Permian Basin	produced fluid	95.27	0.59	37	3275000	59.3	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio oxyclinae
PMN-1_PF_day102_bin.6	Permian Basin	produced fluid	58.28	0	154	1659076	53.9	TRUE	FALSE	FALSE	FALSE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfonatronovibrionaceae;g__;s__
PMN-1_PF_day102_bin.7	Permian Basin	produced fluid	89.83	0	113	1613030	55.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__;s__
PMN-1_PF_day192_bin.1	Permian Basin	produced fluid	87.74	0	172	2605372	55.9	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosalsimonadaceae;g__Desulfosalsimonas;s__
PMN-1_PF_day192_bin.18	Permian Basin	produced fluid	82.76	4.7	137	1929047	31.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Dethiosulfatibacteraceae;g__UBA8670;s__UBA8670 sp003539375
PMN-1_PF_day192_bin.19	Permian Basin	produced fluid	98.71	1.61	106	3517756	54.4	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosalsimonadaceae;g__Desulfosalsimonas;s__
PMN-1_PF_day255_bin.21	Permian Basin	produced fluid	77.9	3.26	201	2464905	35.6	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__Halanaerobium saccharolyticum_B
PMN-1_PF_day409_bin.15	Permian Basin	produced fluid	72.41	0	208	2207551	53.7	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfovermiculus;s__
PMN-1_PF_day409_bin.16	Permian Basin	produced fluid	88.11	0	136	2200177	33.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__QPJE01;s__QPJE01 sp003337245
PMN-1_PF_day409_bin.7	Permian Basin	produced fluid	85.93	0.71	199	2495096	25.8	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Acidaminobacteraceae;g__;s__
PMN-1_PF_day45_bin.9	Permian Basin	produced fluid	98.69	1.96	30	1914893	42.3	TRUE	FALSE	FALSE	FALSE	FALSE	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__;s__
PMN-1_PF_day54_bin.2	Permian Basin	produced fluid	95.15	1.66	263	5653166	61	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E frederiksbergensis_A
PMN-2_PF_day86_bin.5	Permian Basin	produced fluid	94.9	0	127	2488046	38.6	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Bacillota_B;c__Moorellia;o__Desulfitibacterales;f__JAICDB01;g__JAICDB01;s__JAICDB01 sp020063565
PRB-1_PF_day1657_idba_bin.1	Powder River Basin	produced fluid	60.77	0	188	1591138	52.3	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__Desulfotignum balticum
PRB-1_PF_day1657_idba_bin.11	Powder River Basin	produced fluid	72.29	0.21	73	1064475	36.3	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermodesulfobacterium;s__Thermodesulfobacterium commune
PRB-1_PF_day1657_idba_bin.13	Powder River Basin	produced fluid	92.9	1.29	117	2261574	57.5	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosalsimonadaceae;g__Desulfosalsimonas;s__
PRB-1_PF_day1657_idba_bin.17	Powder River Basin	produced fluid	62.46	1.69	134	1310732	56.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__;s__
PRB-1_PF_day1657_idba_bin.2	Powder River Basin	produced fluid	96.1	0	111	2038462	63	TRUE	FALSE	FALSE	FALSE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__UBA12183;s__UBA12183 sp003530935
PRB-1_PF_day1657_mh_bin.1	Powder River Basin	produced fluid	100	0.47	63	3290791	57	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas aquamarina
PRB-1_PF_day1657_mh_bin.18	Powder River Basin	produced fluid	85.78	2.59	117	1551038	34.1	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferrivibrionaceae;g__;s__
PRB-2_PF_day1994_idba_bin.10	Powder River Basin	produced fluid	72.41	1.72	85	1446873	33.9	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferrivibrionaceae;g__;s__
PRB-2_PF_day1994_idba_bin.19	Powder River Basin	produced fluid	98.78	0.95	72	2729325	27.1	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Malaciobacter;s__Malaciobacter marinus
PRB-2_PF_day1994_idba_bin.6	Powder River Basin	produced fluid	99.29	1.65	125	3219274	33.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Caminicellaceae;g__Petromonas;s__Petromonas tenebris
PRB-3_PF_day1948_idba_bin.3	Powder River Basin	produced fluid	95.8	0.46	66	2212988	32.6	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum_A;s__
PRB-3_PF_day1948_mh_bin.15	Powder River Basin	produced fluid	95.48	0.32	65	2144104	33.8	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum_A;s__
PRB-3_PF_day1948_mh_bin.46	Powder River Basin	produced fluid	84.21	0.23	117	1772879	31.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Dethiosulfatibacteraceae;g__UBA8670;s__UBA8670 sp003539375
PRB-3_PF_day1948_mh_bin.54	Powder River Basin	produced fluid	99.94	0	18	1639929	49.7	TRUE	TRUE	TRUE	FALSE	FALSE	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus
PRB-3_PF_day1948_mh_bin.8	Powder River Basin	produced fluid	99.17	0.42	34	1703231	36.9	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermodesulfobacterium;s__Thermodesulfobacterium commune
SCH-1_PF_day156_bin.13	Sichuan Basin	produced fluid	87.39	0.6	135	3649572	63.9	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__
SCH-1_PF_day156_bin.15	Sichuan Basin	produced fluid	100	2.96	65	4680565	45.1	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Prolixibacter;s__Prolixibacter denitrificans
SCH-1_PF_day156_bin.18	Sichuan Basin	produced fluid	98.14	0.6	34	4623597	65.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudodonghicola;s__
SCH-1_PF_day156_bin.21	Sichuan Basin	produced fluid	96.22	0.54	51	3801317	48.8	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;s__Shewanella fodinae
SCH-1_PF_day156_bin.22	Sichuan Basin	produced fluid	57.89	8.93	383	3445536	55.4	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__;g__;s__
SCH-1_PF_day156_bin.27	Sichuan Basin	produced fluid	98.48	0.3	25	3154706	65.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA6796;s__UBA6796 sp002452815
SCH-1_PF_day156_bin.6	Sichuan Basin	produced fluid	83.45	0	44	1516091	48.6	TRUE	TRUE	TRUE	FALSE	FALSE	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter marburgensis
SCH-1_PF_day156_bin.7	Sichuan Basin	produced fluid	81.24	1.94	224	2694858	64.6	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__DDH964;g__DDH964;s__
SCH-1_PF_day80_bin.1	Sichuan Basin	produced fluid	98.31	0	56	1725147	47	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__Thermovirga;s__Thermovirga lienii
SCH-1_PF_day80_bin.11	Sichuan Basin	produced fluid	74.34	0.88	113	1429951	35.1	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferrivibrionaceae;g__Deferrivibrio;s__Deferrivibrio sp020054865
SCH-1_PF_day80_bin.18	Sichuan Basin	produced fluid	90.94	1.17	27	2549113	46	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_B;c__Dehalobacteriia;o__UBA4068;f__UBA5755;g__;s__
SCH-1_PF_day80_bin.2	Sichuan Basin	produced fluid	93.71	0.7	54	2399147	33.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Acetoanaerobium;s__Acetoanaerobium noterae
SCH-1_PF_day80_bin.20	Sichuan Basin	produced fluid	79.53	0.3	92	2511781	42.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__
SCH-1_PF_day80_bin.26	Sichuan Basin	produced fluid	63.17	1.53	253	2447025	46.4	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Bacillota_B;c__Thermincolia;o__Thermincolales;f__UBA2595;g__Phosphitispora;s__
SCH-1_PF_day80_bin.27	Sichuan Basin	produced fluid	92.11	0.6	96	2105620	62.9	TRUE	FALSE	FALSE	FALSE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__UBA12183;s__UBA12183 sp003530935
SCH-1_PF_day80_bin.30	Sichuan Basin	produced fluid	71.43	1.63	45	4608434	40.3	TRUE	FALSE	FALSE	FALSE	TRUE	d__Bacteria;p__Bacillota_B;c__Dehalobacteriia;o__Dehalobacteriales;f__Dehalobacteriaceae;g__;s__
SCH-1_PF_day80_bin.37	Sichuan Basin	produced fluid	82.76	0.86	42	2564060	35.8	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Bacillota;c__Bacilli;o__Tepidibacillales;f__Tepidibacillaceae;g__Tepidibacillus;s__
SCH-1_PF_day80_bin.5	Sichuan Basin	produced fluid	91.89	1.35	68	3471817	42.2	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-18226;g__Mesobacillus;s__Mesobacillus subterraneus_A
UTC-1_IN_FF1_bin.21	Appalachian Basin	input	84.41	0.66	204	2930684	62	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas_B;s__
UTC-1_IN_FF1_bin.6	Appalachian Basin	input	97.42	0.6	64	6320563	60.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp001984065
UTC-1_IN_FF2_bin.14	Appalachian Basin	input	54.94	1.23	81	956063	59.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA2463;s__
UTC-1_PF_day154_bin.1	Appalachian Basin	produced fluid	88.79	0	85	2146173	34.1	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Bacillota_F;c__Halanaerobiia;o__Halobacteroidales;f__Acetohalobiaceae;g__Frackibacter;s__Frackibacter sp900114655
UTC-1_PF_day94_bin.4	Appalachian Basin	produced fluid	92.19	0.86	104	1920920	36.9	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Flexistipitaceae;g__Flexistipes;s__Flexistipes sp002338145
UTC-1_PF_day94_bin.9	Appalachian Basin	produced fluid	81.54	0	122	1583139	38.6	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Flexistipitaceae;g__Flexistipes;s__
UTC-1_PF_day98_10p_bin.1	Appalachian Basin	produced fluid	89.45	1.74	101	2638381	35.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__Halanaerobium sp003070825
UTC-2_IN_RPW_bin.12	Appalachian Basin	input	70.69	0	217	2938726	65.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas balearica
UTC-2_IN_RPW_bin.23	Appalachian Basin	input	66.01	1.83	198	2339433	63.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas_E;s__Halomonas_E taeanensis_A
UTC-2_IN_RPW_bin.5	Appalachian Basin	input	67.24	0	156	2761630	61.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Chromohalobacter;s__
UTC-2_IN_SW_bin.2	Appalachian Basin	input	86.69	8.13	230	3485411	38.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter beijerinckii
UTC-2_IN_SW_bin.25	Appalachian Basin	input	93.59	0	144	3589932	62	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Rivicola;s__Rivicola sp002002905
UTC-2_IN_SW_bin.5	Appalachian Basin	input	57.76	1.72	232	2972792	43.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__
UTC-2_PF_day1_bin.16	Appalachian Basin	produced fluid	90.23	0.86	120	2034526	38.4	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Flexistipitaceae;g__Flexistipes;s__
UTC-2_PF_day17_bin.8	Appalachian Basin	produced fluid	90.69	1.76	161	2891840	66.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__Erythrobacter sp019750455
UTC-2_PF_day17_bin.9	Appalachian Basin	produced fluid	74.8	1.43	223	2945480	68.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Zhizhongheella;s__
WGB_IN_FF_idba_bin.10	Western Gulf Basin	input	75.45	2.78	237	2490610	69	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ramlibacter;s__
WGB_IN_FF_idba_bin.17	Western Gulf Basin	input	74.45	0.68	288	3269239	60.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__V1-33;g__CAJBME01;s__
WGB_IN_FF_idba_bin.26	Western Gulf Basin	input	81.76	1.03	201	2376125	66.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Zeimonas;s__
WGB_IN_FF_idba_bin.29	Western Gulf Basin	input	77.34	2.61	440	5048884	58.8	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__
WGB_IN_FF_idba_bin.51	Western Gulf Basin	input	96.74	0.14	51	2881888	56.8	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA11222;f__UBA11222;g__UBA11222;s__
WGB_IN_FF_mh_bin.11	Western Gulf Basin	input	83.45	0	113	3124332	59.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__JADFDG01;g__JADFDG01;s__
WGB_IN_FF_mh_bin.43	Western Gulf Basin	input	95.24	3.91	110	6199549	58.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__JAGRPD01;s__
WGB_IN_FF_mh_bin.48	Western Gulf Basin	input	62.24	0	215	2166683	68.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp018883075
WGB_IN_FF_mh_bin.70	Western Gulf Basin	input	69.16	1.24	364	3586100	59.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__
WGB_IN_FF_mh_bin.72	Western Gulf Basin	input	53.48	1.29	135	1123851	43	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__;s__
WGB-1_PF_day14_idba_bin.7	Western Gulf Basin	produced fluid	76.77	0.1	256	3451044	46.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;s__Shewanella xiamenensis
WGB-2_PF_day14_idba_bin.8	Western Gulf Basin	produced fluid	97.47	0	51	2566680	46.9	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfotomaculaceae;g__Desulfotomaculum;s__Desulfotomaculum nigrificans
AND_IN_BTW_bin.1	Anadarko Basin	input	62.92	1.22	300	2858912	58.8	FALSE	FALSE	FALSE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii
AND_IN_BTW_bin.5	Anadarko Basin	input	59.83	1.72	408	4581978	52.5	FALSE	FALSE	FALSE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pararheinheimera;s__Pararheinheimera texasensis
AND_IN_FF2_bin.128	Anadarko Basin	input	71.48	0.88	138	1964174	68.4	FALSE	FALSE	FALSE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas sp003182195
AND_IN_FF2_bin.21	Anadarko Basin	input	73.66	1.49	214	2645016	68.8	FALSE	FALSE	FALSE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
AND_IN_FF2_bin.75	Anadarko Basin	input	75.65	0	126	1560845	55.4	FALSE	FALSE	FALSE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Perlucidibaca;s__Perlucidibaca sp002342025
AND_IN_POS_bin.30	Anadarko Basin	input	67.24	0	69	2849814	51.7	FALSE	FALSE	FALSE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pararheinheimera;s__
